rules,support,confidence,lift,
128,"{유통업계계,안정세,관광산업,한우고기} => {관리,오염}",0.111111111,1,9
130,"{유통업계계,안정세,관광산업,한우고기} => {공급부족,삼겹살,농림부}",0.111111111,1,9
132,"{유통업계계,안정세,관광산업,한우고기} => {검증,접종}",0.111111111,1,9
134,"{예상} => {수입가격가격,물가안정}",0.111111111,1,9
136,"{예상} => {보상금,지자체}",0.111111111,1,9
138,{예상} => {관리본부},0.111111111,1,9
140,"{예상} => {관리,오염}",0.111111111,1,9
142,"{예상} => {공급부족,삼겹살,농림부}",0.111111111,1,9
144,"{예상} => {검증,접종}",0.111111111,1,9
146,"{수입가격가격,물가안정} => {보상금,지자체}",0.111111111,1,9
148,"{수입가격가격,물가안정} => {관리본부}",0.111111111,1,9
150,"{수입가격가격,물가안정} => {관리,오염}",0.111111111,1,9
152,"{수입가격가격,물가안정} => {공급부족,삼겹살,농림부}",0.111111111,1,9
154,"{수입가격가격,물가안정} => {검증,접종}",0.111111111,1,9
156,"{보상금,지자체} => {관리본부}",0.111111111,1,9
158,"{보상금,지자체} => {관리,오염}",0.111111111,1,9
160,"{보상금,지자체} => {공급부족,삼겹살,농림부}",0.111111111,1,9
162,"{보상금,지자체} => {검증,접종}",0.111111111,1,9
164,"{관리본부} => {관리,오염}",0.111111111,1,9
166,"{관리본부} => {공급부족,삼겹살,농림부}",0.111111111,1,9
168,"{관리본부} => {검증,접종}",0.111111111,1,9
170,"{관리,오염} => {공급부족,삼겹살,농림부}",0.111111111,1,9
172,"{관리,오염} => {검증,접종}",0.111111111,1,9
174,"{공급부족,삼겹살,농림부} => {검증,접종}",0.111111111,1,9
176,"{상승세,판매량,안정세,소비량,시장} => {수입가격가격,피해대책,농림부}",0.111111111,1,9
178,"{상승세,판매량,안정세,소비량,시장} => {처분}",0.111111111,1,9
184,"{수입가격가격,피해대책,농림부} => {처분}",0.111111111,1,9
190,"{안정세,소비량,시장} => {수질오염}",0.111111111,1,9
192,"{안정세,소비량,시장} => {상승세,판매량,돼지갈비}",0.111111111,1,9
194,"{안정세,소비량,시장} => {관광산업,제주흑우}",0.111111111,1,9
196,"{안정세,소비량,시장} => {검증,매몰지}",0.111111111,1,9
201,"{수질오염} => {상승세,판매량,돼지갈비}",0.111111111,1,9
203,"{수질오염} => {관광산업,제주흑우}",0.111111111,1,9
205,"{수질오염} => {검증,매몰지}",0.111111111,1,9
214,"{상승세,판매량,돼지갈비} => {관광산업,제주흑우}",0.111111111,1,9
216,"{상승세,판매량,돼지갈비} => {검증,매몰지}",0.111111111,1,9
221,"{관광산업,제주흑우} => {검증,매몰지}",0.111111111,1,9
229,{정책실장} => {국민건강},0.111111111,1,9
231,"{정책실장} => {상승세,관광산업,축산물,서비스업}",0.111111111,1,9
233,{정책실장} => {상황실},0.111111111,1,9
235,"{정책실장} => {소비량,시장}",0.111111111,1,9
237,{정책실장} => {지원금},0.111111111,1,9
239,"{정책실장} => {감소세,관광산업소비량}",0.111111111,1,9
244,"{국민건강} => {상승세,관광산업,축산물,서비스업}",0.111111111,1,9
246,{국민건강} => {상황실},0.111111111,1,9
248,"{국민건강} => {소비량,시장}",0.111111111,1,9
250,{국민건강} => {지원금},0.111111111,1,9
252,"{국민건강} => {감소세,관광산업소비량}",0.111111111,1,9
257,"{상승세,관광산업,축산물,서비스업} => {상황실}",0.111111111,1,9
259,"{상승세,관광산업,축산물,서비스업} => {소비량,시장}",0.111111111,1,9
261,"{상승세,관광산업,축산물,서비스업} => {지원금}",0.111111111,1,9
263,"{상승세,관광산업,축산물,서비스업} => {감소세,관광산업소비량}",0.111111111,1,9
268,"{상황실} => {소비량,시장}",0.111111111,1,9
270,{상황실} => {지원금},0.111111111,1,9
272,"{상황실} => {감소세,관광산업소비량}",0.111111111,1,9
277,"{소비량,시장} => {지원금}",0.111111111,1,9
279,"{소비량,시장} => {감소세,관광산업소비량}",0.111111111,1,9
284,"{지원금} => {감소세,관광산업소비량}",0.111111111,1,9
452,"{매몰지,지역경제,안정세,유통} => {축산물,관광산업,구청}",0.111111111,1,9
461,"{매몰지,수입가격가격,돼지고기} => {축산물,관광산업,구청}",0.111111111,1,9
478,"{매몰지,지역경제,안정세,유통} => {지자체}",0.111111111,1,9
487,"{매몰지,수입가격가격,돼지고기} => {지자체}",0.111111111,1,9
492,"{매몰지,지역경제,안정세,유통} => {상황실,예방대책대책,대처,대비태세,접종}",0.111111111,1,9
501,"{매몰지,수입가격가격,돼지고기} => {상황실,예방대책대책,대처,대비태세,접종}",0.111111111,1,9
557,"{돼지고기,매몰지} => {인상}",0.111111111,1,9
560,"{매몰지,지역경제,한우고기} => {인상}",0.111111111,1,9
567,"{돼지고기,방지} => {인상}",0.111111111,1,9
570,"{방지,지역경제,한우고기} => {인상}",0.111111111,1,9
930,"{돼지고기,매몰지} => {상승세,판매량,안정세,소비량,시장}",0.111111111,1,9
933,"{매몰지,지역경제,한우고기} => {상승세,판매량,안정세,소비량,시장}",0.111111111,1,9
940,"{돼지고기,방지} => {상승세,판매량,안정세,소비량,시장}",0.111111111,1,9
943,"{방지,지역경제,한우고기} => {상승세,판매량,안정세,소비량,시장}",0.111111111,1,9
958,"{돼지고기,매몰지} => {수입가격가격,피해대책,농림부}",0.111111111,1,9
961,"{매몰지,지역경제,한우고기} => {수입가격가격,피해대책,농림부}",0.111111111,1,9
968,"{돼지고기,방지} => {수입가격가격,피해대책,농림부}",0.111111111,1,9
971,"{방지,지역경제,한우고기} => {수입가격가격,피해대책,농림부}",0.111111111,1,9
1030,"{농림부,수입가격가격,돼지고기} => {안정세,소비량,시장}",0.111111111,1,9
1033,"{수입가격가격,돼지고기,지역경제,한우고기} => {안정세,소비량,시장}",0.111111111,1,9
1074,"{농림부,수입가격가격,돼지고기} => {수질오염}",0.111111111,1,9
1077,"{수입가격가격,돼지고기,지역경제,한우고기} => {수질오염}",0.111111111,1,9
1080,"{돼지고기,매몰지} => {처분}",0.111111111,1,9
1083,"{매몰지,지역경제,한우고기} => {처분}",0.111111111,1,9
1090,"{돼지고기,방지} => {처분}",0.111111111,1,9
1093,"{방지,지역경제,한우고기} => {처분}",0.111111111,1,9
1119,"{농림부,수입가격가격,돼지고기} => {상승세,판매량,돼지갈비}",0.111111111,1,9
1122,"{수입가격가격,돼지고기,지역경제,한우고기} => {상승세,판매량,돼지갈비}",0.111111111,1,9
1136,"{농림부,수입가격가격,돼지고기} => {관광산업,제주흑우}",0.111111111,1,9
1139,"{수입가격가격,돼지고기,지역경제,한우고기} => {관광산업,제주흑우}",0.111111111,1,9
1144,"{농림부,수입가격가격,돼지고기} => {검증,매몰지}",0.111111111,1,9
1147,"{수입가격가격,돼지고기,지역경제,한우고기} => {검증,매몰지}",0.111111111,1,9
1249,"{농림부,돼지고기} => {정책실장}",0.111111111,1,9
1331,"{농림부,돼지고기} => {국민건강}",0.111111111,1,9
1392,"{농림부,돼지고기} => {상승세,관광산업,축산물,서비스업}",0.111111111,1,9
1435,"{농림부,돼지고기} => {상황실}",0.111111111,1,9
1463,"{농림부,돼지고기} => {소비량,시장}",0.111111111,1,9
1479,"{농림부,돼지고기} => {지원금}",0.111111111,1,9
1486,"{농림부,돼지고기} => {감소세,관광산업소비량}",0.111111111,1,9
32,"{축산물,판매량,관광산업,지원대책,수질오염} => {지역경제,안정세,유통}",0.111111111,1,4.5
39,"{처리시설} => {지역경제,안정세,유통}",0.111111111,1,4.5
44,"{상황실,대비태세,접촉} => {지역경제,안정세,유통}",0.111111111,1,4.5
51,"{축산물,관광산업,구청} => {지역경제,안정세,유통}",0.111111111,1,4.5
52,"{축산물,관광산업,구청} => {매몰지}",0.111111111,1,4.5
57,"{지자체} => {지역경제,안정세,유통}",0.111111111,1,4.5
58,{지자체} => {매몰지},0.111111111,1,4.5
61,"{상황실,예방대책대책,대처,대비태세,접종} => {지역경제,안정세,유통}",0.111111111,1,4.5
62,"{상황실,예방대책대책,대처,대비태세,접종} => {매몰지}",0.111111111,1,4.5
65,"{축산업,소비량,수급} => {지역경제,안정세,유통}",0.111111111,1,4.5
74,{인상} => {매몰지},0.111111111,1,4.5
75,{인상} => {돼지고기},0.111111111,1,4.5
180,"{상승세,판매량,안정세,소비량,시장} => {매몰지}",0.111111111,1,4.5
181,"{상승세,판매량,안정세,소비량,시장} => {돼지고기}",0.111111111,1,4.5
186,"{수입가격가격,피해대책,농림부} => {매몰지}",0.111111111,1,4.5
187,"{수입가격가격,피해대책,농림부} => {돼지고기}",0.111111111,1,4.5
198,"{안정세,소비량,시장} => {농림부}",0.111111111,1,4.5
207,{수질오염} => {농림부},0.111111111,1,4.5
210,{처분} => {매몰지},0.111111111,1,4.5
211,{처분} => {돼지고기},0.111111111,1,4.5
218,"{상승세,판매량,돼지갈비} => {농림부}",0.111111111,1,4.5
223,"{관광산업,제주흑우} => {농림부}",0.111111111,1,4.5
226,"{검증,매몰지} => {농림부}",0.111111111,1,4.5
241,{정책실장} => {돼지고기},0.111111111,1,4.5
242,{정책실장} => {농림부},0.111111111,1,4.5
254,{국민건강} => {돼지고기},0.111111111,1,4.5
255,{국민건강} => {농림부},0.111111111,1,4.5
265,"{상승세,관광산업,축산물,서비스업} => {돼지고기}",0.111111111,1,4.5
266,"{상승세,관광산업,축산물,서비스업} => {농림부}",0.111111111,1,4.5
274,{상황실} => {돼지고기},0.111111111,1,4.5
275,{상황실} => {농림부},0.111111111,1,4.5
281,"{소비량,시장} => {돼지고기}",0.111111111,1,4.5
282,"{소비량,시장} => {농림부}",0.111111111,1,4.5
286,{지원금} => {돼지고기},0.111111111,1,4.5
287,{지원금} => {농림부},0.111111111,1,4.5
289,"{감소세,관광산업소비량} => {돼지고기}",0.111111111,1,4.5
290,"{감소세,관광산업소비량} => {농림부}",0.111111111,1,4.5
1493,"{매몰지,수입가격가격,돼지고기} => {지역경제,안정세,유통}",0.111111111,1,4.5
1497,"{매몰지,지역경제,한우고기} => {돼지고기}",0.111111111,1,4.5
1499,"{돼지고기,방지} => {매몰지}",0.111111111,1,4.5
1501,"{방지,지역경제,한우고기} => {매몰지}",0.111111111,1,4.5
1505,"{방지,지역경제,한우고기} => {돼지고기}",0.111111111,1,4.5
1507,"{수입가격가격,돼지고기,지역경제,한우고기} => {농림부}",0.111111111,1,4.5
76,"{인상} => {지역경제,한우고기}",0.111111111,1,3
182,"{상승세,판매량,안정세,소비량,시장} => {지역경제,한우고기}",0.111111111,1,3
188,"{수입가격가격,피해대책,농림부} => {지역경제,한우고기}",0.111111111,1,3
199,"{안정세,소비량,시장} => {지역경제,한우고기}",0.111111111,1,3
208,"{수질오염} => {지역경제,한우고기}",0.111111111,1,3
212,"{처분} => {지역경제,한우고기}",0.111111111,1,3
219,"{상승세,판매량,돼지갈비} => {지역경제,한우고기}",0.111111111,1,3
224,"{관광산업,제주흑우} => {지역경제,한우고기}",0.111111111,1,3
227,"{검증,매몰지} => {지역경제,한우고기}",0.111111111,1,3
243,"{정책실장} => {지역경제,한우고기}",0.111111111,1,3
256,"{국민건강} => {지역경제,한우고기}",0.111111111,1,3
267,"{상승세,관광산업,축산물,서비스업} => {지역경제,한우고기}",0.111111111,1,3
276,"{상황실} => {지역경제,한우고기}",0.111111111,1,3
283,"{소비량,시장} => {지역경제,한우고기}",0.111111111,1,3
288,"{지원금} => {지역경제,한우고기}",0.111111111,1,3
291,"{감소세,관광산업소비량} => {지역경제,한우고기}",0.111111111,1,3
295,"{돼지고기} => {지역경제,한우고기}",0.222222222,1,3
296,"{농림부} => {지역경제,한우고기}",0.222222222,1,3
33,"{축산물,판매량,관광산업,지원대책,수질오염} => {방지}",0.111111111,1,2.25
40,{처리시설} => {방지},0.111111111,1,2.25
45,"{상황실,대비태세,접촉} => {방지}",0.111111111,1,2.25
53,"{축산물,관광산업,구청} => {방지}",0.111111111,1,2.25
59,{지자체} => {방지},0.111111111,1,2.25
63,"{상황실,예방대책대책,대처,대비태세,접종} => {방지}",0.111111111,1,2.25
66,"{축산업,소비량,수급} => {방지}",0.111111111,1,2.25
77,{인상} => {방지},0.111111111,1,2.25
88,"{상황실,강화} => {방지}",0.111111111,1,2.25
98,"{등록제,관광산업,소비량,미국산,정책} => {방지}",0.111111111,1,2.25
106,"{대처,대응} => {방지}",0.111111111,1,2.25
112,{국무회의} => {방지},0.111111111,1,2.25
116,"{관광산업,식품산업} => {방지}",0.111111111,1,2.25
118,"{경제관료,기준} => {방지}",0.111111111,1,2.25
183,"{상승세,판매량,안정세,소비량,시장} => {방지}",0.111111111,1,2.25
189,"{수입가격가격,피해대책,농림부} => {방지}",0.111111111,1,2.25
213,{처분} => {방지},0.111111111,1,2.25
292,"{지역경제,안정세,유통} => {방지}",0.222222222,1,2.25
294,{매몰지} => {방지},0.222222222,1,2.25
5,"{우유값,소비량,기준가격,안정세,선물용,한우고기} => {수입가격가격,돼지고기}",0.111111111,1,1.5
8,"{부진,관리,경제관료,피해대책,상황실} => {수입가격가격,돼지고기}",0.111111111,1,1.5
9,"{공급량,생산감소} => {수입가격가격,돼지고기}",0.111111111,1,1.5
16,"{피해대책,수질오염} => {수입가격가격,돼지고기}",0.111111111,1,1.5
21,"{판매량,축산물,상승부담,관광산업,농림부} => {수입가격가격,돼지고기}",0.111111111,1,1.5
24,"{우유값,농업소득} => {수입가격가격,돼지고기}",0.111111111,1,1.5
25,"{안정세,수입가격규모,지역경제,공급량,생산감소} => {수입가격가격,돼지고기}",0.111111111,1,1.5
34,"{축산물,판매량,관광산업,지원대책,수질오염} => {수입가격가격,돼지고기}",0.111111111,1,1.5
41,"{처리시설} => {수입가격가격,돼지고기}",0.111111111,1,1.5
46,"{상황실,대비태세,접촉} => {수입가격가격,돼지고기}",0.111111111,1,1.5
54,"{축산물,관광산업,구청} => {수입가격가격,돼지고기}",0.111111111,1,1.5
60,"{지자체} => {수입가격가격,돼지고기}",0.111111111,1,1.5
64,"{상황실,예방대책대책,대처,대비태세,접종} => {수입가격가격,돼지고기}",0.111111111,1,1.5
67,"{축산업,소비량,수급} => {수입가격가격,돼지고기}",0.111111111,1,1.5
89,"{상황실,강화} => {수입가격가격,돼지고기}",0.111111111,1,1.5
99,"{등록제,관광산업,소비량,미국산,정책} => {수입가격가격,돼지고기}",0.111111111,1,1.5
107,"{대처,대응} => {수입가격가격,돼지고기}",0.111111111,1,1.5
113,"{국무회의} => {수입가격가격,돼지고기}",0.111111111,1,1.5
117,"{관광산업,식품산업} => {수입가격가격,돼지고기}",0.111111111,1,1.5
119,"{경제관료,기준} => {수입가격가격,돼지고기}",0.111111111,1,1.5
200,"{안정세,소비량,시장} => {수입가격가격,돼지고기}",0.111111111,1,1.5
209,"{수질오염} => {수입가격가격,돼지고기}",0.111111111,1,1.5
220,"{상승세,판매량,돼지갈비} => {수입가격가격,돼지고기}",0.111111111,1,1.5
225,"{관광산업,제주흑우} => {수입가격가격,돼지고기}",0.111111111,1,1.5
228,"{검증,매몰지} => {수입가격가격,돼지고기}",0.111111111,1,1.5
293,"{지역경제,안정세,유통} => {수입가격가격,돼지고기}",0.222222222,1,1.5
